step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
1,CASH_OUT,772.07,C000174,2095.71,1323.64,M000028,1613.82,2385.9,0,0
1,PAYMENT,158.99,C000114,4019.83,3860.84,M000089,9563.62,9722.62,0,0
1,PAYMENT,620.62,C000183,3192.86,2572.25,M000097,667.99,1288.61,0,0
1,PAYMENT,587.0,C000008,2880.36,2293.36,M000103,6414.32,7001.32,0,0
1,CASH_OUT,2844.24,C000239,737.2,0.0,M000120,41462.55,44306.79,0,0
1,PAYMENT,474.34,C000020,5315.19,4840.85,M000029,3272.28,3746.62,0,0
1,PAYMENT,1275.34,C000204,22643.09,21367.75,M000155,2861.0,4136.35,0,0
1,CASH_OUT,1187.95,C000260,1224.81,36.85,M000073,10061.81,11249.77,0,0
1,CASH_OUT,116.7,C000222,3047.95,2931.25,M000014,3878.8,3995.49,0,0
1,PAYMENT,1270.63,C000056,5044.09,3773.46,M000128,8870.41,10141.04,0,0
1,CASH_IN,1149.92,C000102,8961.29,7811.36,M000193,11336.57,12486.49,0,0
1,TRANSFER,406.54,C000170,14395.97,13989.43,M000096,7396.14,7802.68,0,0
1,PAYMENT,1196.26,C000061,7381.79,6185.53,M000086,9702.61,10898.86,0,0
1,PAYMENT,1832.72,C000275,42594.95,40762.23,M000061,8032.69,9865.41,0,0
1,CASH_IN,881.91,C000187,3660.12,2778.2,M000101,3463.59,4345.5,0,0
1,CASH_OUT,102.08,C000059,6337.07,6235.0,M000083,16302.67,16404.75,0,0
1,TRANSFER,915.6,C000147,961.58,45.98,M000126,3336.19,4251.79,0,0
1,TRANSFER,248.73,C000042,13723.7,13474.97,M000076,6368.48,6617.21,0,0
1,PAYMENT,644.78,C000237,4144.69,3499.9,M000003,3599.03,4243.81,0,0
1,TRANSFER,149.68,C000128,8396.96,8247.27,M000027,11101.7,11251.38,0,0
1,CASH_IN,193.36,C000150,3260.93,3067.57,M000083,2144.49,2337.85,0,0
1,CASH_OUT,67.69,C000153,4698.84,4631.16,M000176,6754.47,6822.16,0,0
1,PAYMENT,362.12,C000193,39928.8,39566.68,M000116,4470.94,4833.07,0,0
1,PAYMENT,429.46,C000159,15111.94,14682.48,M000025,15842.65,16272.11,0,0
1,PAYMENT,194.22,C000233,7046.33,6852.1,M000093,6029.26,6223.48,0,0
1,CASH_IN,481.98,C000093,10851.2,10369.22,M000143,4359.61,4841.59,0,0
1,PAYMENT,1914.04,C000178,9922.65,8008.61,M000113,26795.3,28709.34,0,0
1,PAYMENT,730.55,C000027,3511.12,2780.57,M000096,26862.11,27592.66,0,0
1,CASH_IN,94.35,C000207,29794.19,29699.84,M000091,42653.25,42747.6,0,0
1,TRANSFER,296.79,C000267,14504.83,14208.04,M000113,13560.22,13857.02,0,0
1,TRANSFER,765.2,C000057,10440.44,9675.24,M000024,6621.98,7387.18,0,0
1,CASH_OUT,267.95,C000198,60951.16,60683.21,M000160,39769.94,40037.9,0,0
1,PAYMENT,465.08,C000049,13432.66,12967.58,M000070,13196.07,13661.16,0,0
1,PAYMENT,84.13,C000292,3234.9,3150.77,M000007,41031.41,41115.54,0,0
1,TRANSFER,444.76,C000085,1644.51,1199.75,M000152,5409.97,5854.73,0,0
1,TRANSFER,1644.05,C000237,6353.06,4709.01,M000088,10362.19,12006.25,0,0
1,CASH_OUT,58.57,C000234,2310.06,2251.5,M000195,5287.43,5345.99,0,0
1,CASH_IN,101.35,C000240,744.05,642.7,M000110,6892.77,6994.11,0,0
1,CASH_IN,1646.07,C000077,5676.6,4030.54,M000175,2088.53,3734.6,0,0
1,CASH_OUT,1246.09,C000299,9593.5,8347.41,M000155,3382.63,4628.71,0,0
1,PAYMENT,2107.76,C000067,5063.51,2955.75,M000155,7522.11,9629.87,0,0
1,CASH_IN,1356.47,C000202,2946.47,1590.01,M000019,5480.15,6836.61,0,0
1,CASH_IN,1457.11,C000019,5253.74,3796.63,M000164,6692.66,8149.77,0,0
1,TRANSFER,2250.4,C000235,3200.31,949.9,M000184,3782.88,6033.29,0,0
1,PAYMENT,266.3,C000090,4608.79,4342.5,M000016,3835.1,4101.4,0,0
1,TRANSFER,421.22,C000034,1546.87,1125.65,M000019,7220.49,7641.72,0,0
1,TRANSFER,4617.3,C000103,4952.26,334.96,M000161,43241.9,47859.21,0,0
1,TRANSFER,643.23,C000250,4262.06,3618.83,M000028,10318.89,10962.12,0,0
1,TRANSFER,2341.13,C000284,1199.36,0.0,M000094,2948.85,5289.98,0,0
1,CASH_IN,755.91,C000213,1089.07,333.17,M000134,3092.69,3848.6,0,0
1,PAYMENT,2176.42,C000281,6524.96,4348.54,M000157,3182.97,5359.39,0,0
1,DEBIT,1240.05,C000289,2600.64,1360.59,M000142,17428.06,18668.11,0,0
1,PAYMENT,357.94,C000288,10764.23,10406.29,M000183,5166.84,5524.78,0,0
1,CASH_IN,128.63,C000275,12211.24,12082.61,M000036,4714.74,4843.38,0,0
1,TRANSFER,118.52,C000015,18157.14,18038.61,M000057,5639.95,5758.48,0,0
1,TRANSFER,1208.31,C000058,5015.06,3806.75,M000016,4950.76,6159.07,0,0
1,PAYMENT,1259.12,C000016,4693.71,3434.59,M000104,13328.82,14587.94,0,0
1,CASH_OUT,44.0,C000220,4754.13,4710.13,M000018,9009.82,9053.82,0,0
1,CASH_IN,923.99,C000133,5316.87,4392.88,M000041,2525.96,3449.95,0,0
1,PAYMENT,49.34,C000081,9825.4,9776.06,M000085,1314.96,1364.31,0,0
1,PAYMENT,174.18,C000248,9963.98,9789.8,M000183,1169.72,1343.9,0,0
1,PAYMENT,714.05,C000160,6694.73,5980.67,M000020,6526.6,7240.65,0,0
